07-6805 411010090080911Facture 07-6805 CREDIT COPERATIF                  00000000000005499.30                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        E       1                   Facture 07-6805 CREDIT COPERATIF                  1                  1                               BTGEVO                                                      KLEINMAN                                                    FACCLI                                                      7973                          080911 02;SYS_ADM                                                                                                       07-6805                       
07-6805 709401400080911Facture 07-6805 CREDIT COPERATIF                  00000000000000242.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        E       1                   Facture 07-6805 CREDIT COPERATIF                  0                                                  BTGEVO                                                      KLEINMAN                                                    FACCLI                                                      7973                          080911 02;SYS_ADM                                                                                                       07-6805                       
07-6805 704013000080911Facture 07-6805 CREDIT COPERATIF                                      00000000000001120.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    E       1                   Facture 07-6805 CREDIT COPERATIF                  0                                                  BTGEVO                                                      KLEINMAN                                                    FACCLI                                                      7973                          080911 02;SYS_ADM                                                                                                       07-6805                       
07-6805 704014000080911Facture 07-6805 CREDIT COPERATIF                                      00000000000003652.70                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    E       1                   Facture 07-6805 CREDIT COPERATIF                  0                                                  BTGEVO                                                      KLEINMAN                                                    FACCLI                                                      7973                          080911 02;SYS_ADM                                                                                                       07-6805                       
07-6805 704000000080911Facture 07-6805 CREDIT COPERATIF                                      00000000000000067.38                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    E       1                   Facture 07-6805 CREDIT COPERATIF                  0                                                  BTGEVO                                                      KLEINMAN                                                    FACCLI                                                      7973                          080911 02;SYS_ADM                                                                                                       07-6805                       
07-6805 445719000080911Facture 07-6805 CREDIT COPERATIF                                      00000000000000901.22                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    E       1                   Facture 07-6805 CREDIT COPERATIF                  0                                                  BTGEVO                                                      KLEINMAN                                                    FACCLI                                                      7973                          080911 02;SYS_ADM                                                                                                       07-6805                       
07-6806 411020980080911Facture 07-6806 CNAME Alsace                            00000000000002215.16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        E       1                   Facture 07-6806 CNAME Alsace                            1                  1                               BTGEVO                                                      KLEINMAN                                                    FACCLI                                                      7974                          080911 02;SYS_ADM                                                                                                       07-6806                       
07-6806 704013000080911Facture 07-6806 CNAME Alsace                                                00000000000001852.14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    E       1                   Facture 07-6806 CNAME Alsace                            0                                                  BTGEVO                                                      KLEINMAN                                                    FACCLI                                                      7974                          080911 02;SYS_ADM                                                                                                       07-6806                       
07-6806 445719000080911Facture 07-6806 CNAME Alsace                                                00000000000000363.02                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    E       1                   Facture 07-6806 CNAME Alsace                            0                                                  BTGEVO                                                      KLEINMAN                                                    FACCLI                                                      7974                          080911 02;SYS_ADM                                                                                                       07-6806                       
07-6807 411056080080911Avoir 07-6807 LARSONE LUPIN                                                     00000000000002351.28                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    E       1                   Avoir 07-6807 LARSONE LUPIN                                 1                  1                               BTGEVO                                                      KLEINMAN                                                    FACCLI                                                      7975                          080911 02;SYS_ADM                                                                                                       07-6807                       
